Date,Open,High,Low,Close,Volume,Value,Symbol,Source,Adj Close,Dividends,Stock Splits
2023-12-05,281.15,281.15,269.1,275.4,65,17719.69,SBER,MOEX,275.4,0,0
2023-12-05,271.98,279.65,270.54,279.62,46892570,12898716767.4,SBER,MOEX,279.62,0,0
2023-12-06,279.92,280.79,266.83,267.58,100020030,27232146023.6,SBER,MOEX,267.58,0,0
2023-12-06,279.88,279.88,265.0,265.0,120,32596.46,SBER,MOEX,265.0,0,0
2023-12-07,268.25,268.25,262.12,263.32,59,15673.38,SBER,MOEX,263.32,0,0
2023-12-07,267.62,270.44,263.06,265.12,63564530,16923520867.1,SBER,MOEX,265.12,0,0
2023-12-08,266.7,268.39,263.3,267.89,55,14635.42,SBER,MOEX,267.89,0,0
2023-12-08,266.0,268.23,263.72,265.16,35364310,9405705680.8,SBER,MOEX,265.16,0,0
2023-12-11,255.02,268.83,255.02,259.95,116,30123.89,SBER,MOEX,259.95,0,0
2023-12-11,265.17,266.47,254.81,256.89,77668070,20147540396.1,SBER,MOEX,256.89,0,0
2023-12-12,256.06,262.99,255.05,258.0,112,28902.24,SBER,MOEX,258.0,0,0
2023-12-12,256.79,262.88,255.05,257.6,63932170,16571022504.0,SBER,MOEX,257.6,0,0
2023-12-13,259.99,260.44,256.99,260.44,93,24070.5,SBER,MOEX,260.44,0,0
2023-12-13,257.6,261.39,256.5,260.45,29836400,7735550777.2,SBER,MOEX,260.45,0,0
2023-12-14,261.4,262.75,255.58,256.64,40549660,10532813145.4,SBER,MOEX,256.64,0,0
2023-12-14,264.5,264.5,255.61,258.28,63,16395.08,SBER,MOEX,258.28,0,0
2023-12-15,263.78,268.0,257.06,268.0,85,22223.86,SBER,MOEX,268.0,0,0
2023-12-15,256.6,268.91,256.6,268.21,84668740,22341539421.4,SBER,MOEX,268.21,0,0
2023-12-18,268.95,270.49,265.95,267.03,73,19477.34,SBER,MOEX,267.03,0,0
2023-12-18,268.93,270.44,266.54,268.4,51602470,13852221892.9,SBER,MOEX,268.4,0,0
2023-12-19,269.72,269.72,265.04,265.04,91,24217.85,SBER,MOEX,265.04,0,0
2023-12-19,268.38,269.71,265.0,267.35,38287810,10231074172.7,SBER,MOEX,267.35,0,0
2023-12-20,274.74,274.74,266.01,269.99,45,12050.86,SBER,MOEX,269.99,0,0
2023-12-20,267.51,269.1,266.2,266.61,31094000,8324805931.0,SBER,MOEX,266.61,0,0
2023-12-21,266.4,266.87,263.5,265.19,33301420,8829664891.8,SBER,MOEX,265.19,0,0
2023-12-21,274.75,274.75,263.27,268.35,36,9543.44,SBER,MOEX,268.35,0,0
2023-12-22,266.06,271.9,265.37,271.3,58724860,15866126899.5,SBER,MOEX,271.3,0,0
2023-12-22,265.5,265.5,265.5,265.5,35672600,9471075300.0,SBER,MOEX,265.5,0,0
