Price,High,Low,Close,Volume
Ticker,SBER.ME,SBER.ME,SBER.ME,SBER.ME
Date,,,,
2016-08-29,105.93712952803637,104.49989353877679,105.26251220703125,45656960
2016-08-30,106.54576715630643,104.99120330810547,104.99120330810547,50500270
2016-08-31,105.62915220840603,104.5292304801456,105.22584533691406,45305830
2016-09-01,106.1644483720787,105.29918195017206,105.77581024169922,41963102
2016-09-02,107.85832848853192,105.46050703247376,107.704345703125,53845560
2016-09-05,109.69887428413485,107.85833127278816,109.62554168701172,59600300
2016-09-06,110.58613564795746,109.30289355183093,110.46147918701172,60199935
2016-09-07,113.68059966769552,110.66681306059819,113.16730499267578,95300490
2016-09-08,114.57520063642427,111.95005229676438,112.52201080322266,64752830
2016-09-09,112.07469732948005,110.8867853510432,111.16543579101562,33786550
2016-09-12,111.23143176546137,109.00225055649202,111.040771484375,56124240
2016-09-13,111.53206892553864,109.44221314368431,109.84552001953125,36177590
2016-09-14,111.12876855469253,109.51555214585657,110.622802734375,38730080
2016-09-15,110.56413771942954,108.56961197332554,109.36155700683594,45152290
2016-09-16,109.75753150780868,107.79234313964844,107.79234313964844,49929080
2016-09-19,109.92618399129715,108.57694931021362,109.00958251953125,38986470
2016-09-20,109.55220324016211,107.82165921690546,109.4788818359375,35197710
2016-09-21,111.12143345496558,109.78686742522223,110.48348236083984,43825610
2016-09-22,113.2919521215636,111.1800985597936,113.05729675292969,66192587
2016-09-23,112.74931353848832,110.08751038498806,111.09210205078125,51201870
2016-09-26,111.78870708003235,109.03890281672072,109.33222198486328,52078770
2016-09-27,109.76487472019598,107.99766418019885,108.18098449707031,40476552
2016-09-28,109.5082141480812,107.57969215787597,107.92432403564453,40322000
2016-09-29,110.63747254748743,108.56228538046794,108.8702621459961,56728010
2016-09-30,107.79233799635948,106.0324675658898,106.57508850097656,58039520
2016-10-03,109.16358184814452,106.87574780829786,109.16358184814453,47993881
2016-10-04,109.34688435407904,107.21304465565686,108.59894561767578,46486550
2016-10-05,108.81892694298112,107.279043117429,108.48895263671875,37993810
2016-10-06,109.76486819589573,108.1956468243081,109.1855697631836,32716690
2016-10-07,110.35882348113553,108.44495905161098,109.06825256347656,49440205
2016-10-10,110.945436564533,108.78958826457608,110.9234390258789,37509660
2016-10-11,111.78138227796781,110.36614381510672,110.94544219970703,46388449
